Zip Code,# of Incidents,City,Population,County,# of Dispensaries,Incidents per capita
90001,395,Los Angeles,57110.0,Los Angeles County,3,144.58227848101265
90002,837,Los Angeles,51223.0,Los Angeles County,0,61.19832735961768
90003,2953,Los Angeles,66266.0,Los Angeles County,0,22.440230274297324
90004,1173,Los Angeles,62180.0,Los Angeles County,0,53.009377664109124
90005,940,Los Angeles,37681.0,Los Angeles County,0,40.08617021276596
90006,917,Los Angeles,59185.0,Los Angeles County,0,64.54198473282443
90007,1604,Los Angeles,40920.0,Los Angeles County,1,25.51122194513716
90008,736,Los Angeles,32327.0,Los Angeles County,1,43.922554347826086
90010,874,Los Angeles,3800.0,Los Angeles County,0,4.3478260869565215
90011,2087,Los Angeles,103892.0,Los Angeles County,0,49.780546238620026
90012,1008,Los Angeles,31103.0,Los Angeles County,1,30.856150793650794
90013,2157,Los Angeles,11772.0,Los Angeles County,0,5.457579972183589
90014,5200,Los Angeles,7005.0,Los Angeles County,1,1.3471153846153847
90015,1249,Los Angeles,18986.0,Los Angeles County,2,15.200960768614891
90016,865,Los Angeles,47596.0,Los Angeles County,3,55.0242774566474
90017,1264,Los Angeles,23768.0,Los Angeles County,0,18.803797468354432
90018,1638,Los Angeles,49310.0,Los Angeles County,1,30.103785103785103
90019,800,Los Angeles,64458.0,Los Angeles County,4,80.5725
90020,384,Los Angeles,38967.0,Los Angeles County,0,101.4765625
90021,1645,Los Angeles,3951.0,Los Angeles County,9,2.401823708206687
90023,689,Los Angeles,45903.0,Los Angeles County,4,66.62264150943396
90024,95,Los Angeles,47452.0,Los Angeles County,3,499.4947368421053
90025,886,Los Angeles,42147.0,Los Angeles County,1,47.56997742663657
90026,760,Los Angeles,67869.0,Los Angeles County,1,89.30131578947369
90027,41,Los Angeles,45151.0,Los Angeles County,1,1101.2439024390244
90028,6439,Los Angeles,28714.0,Los Angeles County,1,4.459388103742818
90029,1497,Los Angeles,38617.0,Los Angeles County,3,25.79625918503674
90031,1001,Los Angeles,39316.0,Los Angeles County,0,39.276723276723274
