Year,Community_Name,City,LACity,SPA,SD,DemogSurvCt,YouthSurvCt,SheltHmisCt,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totCars,totVans,totCampers,totTents,totMakeshift,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totMakeshiftPeople,FamCarHH,FamVanHH,FamCamperHH,FamTentHH,FamMakeshiftHH,FamCarPeople,FamVanPeople,FamCamperPeople,FamTentPeople,FamMakeshiftPeople,IndCarPeople,IndVanPeople,IndCamperPeople,IndTentPeople,IndMakeshiftPeople,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
2018,Adams,Los Angeles,1,6,2,41,5,2,59,1,3,15,23,18,1,6,24,37,33,2,10,1,1,1,0,0,3,2,3,0,0,21,36,30,1,10,89,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,168,89,2,0,91,259
2018,Adams-La Brea,Los Angeles,1,6,2,32,5,0,44,0,0,13,18,16,3,30,21,29,29,5,50,1,1,1,0,0,2,1,2,0,1,19,28,27,4,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,179
2018,Agoura Hills,Agoura Hills,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
2018,Agua Dulce,Agua Dulce,0,2,5,0,0,0,14,0,0,1,0,8,1,4,2,0,15,2,7,0,0,0,0,0,0,0,1,0,0,1,0,14,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,38
2018,Alhambra,Alhambra,0,3,5,0,0,15,15,0,0,1,2,3,0,7,2,3,5,0,12,0,0,0,0,0,0,0,0,0,0,1,3,5,0,11,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,37,0,15,0,15,52
2018,Alondra Park,Alondra Park,0,8,2,0,0,0,7,0,0,9,3,5,1,3,15,5,9,2,5,1,0,0,0,0,2,0,1,0,0,13,5,8,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,42
2018,Altadena,Altadena,0,3,5,10,0,5,3,0,0,3,4,8,0,1,5,7,15,0,2,0,0,0,0,0,1,0,1,0,0,4,6,14,0,2,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,31,0,25,0,25,56
2018,Angeles National Forest,Los Angeles,1,2,3,6,0,0,3,0,0,4,1,11,0,3,6,2,20,0,5,0,0,0,0,0,1,0,2,0,0,6,2,19,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,36
2018,Arcadia,Arcadia,0,3,5,3,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
2018,Arleta,Los Angeles,1,2,3,24,10,0,7,0,0,6,9,24,0,3,10,15,44,0,5,0,0,1,0,0,1,1,3,0,0,9,14,41,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,80
