"Los Angeles, CA - All Homes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistic,,,Zillow Home Value Index,,,,,,Decreasing values (%),,,,Listings with price cut (%),,,,Median value per sq. ft. ($),,,,Median price cut (%),,,,Median list price ($),,,,Median sale price ($),,,,Increasing values (%),,,,Median list price / sq. ft. ($),,,,Median rent list price ($),,,,Median rent list price / sq. ft. ($),,,,Homes foreclosed,,,,Zillow Rent Index,,,,Rent estimate / sq. ft. ($),,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
Los Angeles,city,All Homes,"$694,200",0.1%,0.7%,4.5%,7.8%,4.8%,18.5%,---,---,---,13.1%,-2.3%,-2.3%,3.9%,$474,0.0%,0.9%,5.3%,3.0%,-0.2%,-0.2%,-0.5%,"$799,900",0.1%,0.0%,2.6%,---,---,---,---,74.6%,---,---,---,$523,1.3%,1.2%,7.0%,"$3,500",0.0%,-2.8%,1.4%,$2.72,0.9%,0.7%,4.6%,0.48,0.2%,0.2%,-0.0%,"$3,079",0.3%,2.3%,4.4%,$2.26,0.4%,2.4%,4.1%
90001,zipcode,All Homes,"$375,600",0.8%,2.0%,6.1%,10.3%,4.5%,12.0%,---,---,---,13.3%,6.7%,0.5%,8.3%,$368,0.8%,2.2%,7.3%,---,---,---,---,"$394,500",-1.4%,4.7%,9.9%,"$446,400",21.3%,22.0%,17.8%,80.2%,---,---,---,$356,0.1%,4.5%,8.4%,---,---,---,---,---,---,---,---,0,---,---,---,"$2,504",0.8%,4.2%,6.7%,$2.47,0.8%,5.6%,8.0%
90002,zipcode,All Homes,"$376,400",0.4%,1.2%,5.7%,11.1%,4.5%,3.6%,---,---,---,5.0%,-3.7%,-2.1%,-3.0%,$356,0.3%,1.4%,6.3%,4.6%,0.6%,1.5%,2.2%,"$382,500",-1.9%,-1.9%,3.4%,"$393,000",1.1%,5.3%,19.0%,93.5%,---,---,---,$330,0.0%,-2.2%,-3.1%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,468",0.5%,3.2%,6.0%,$2.36,0.9%,5.4%,7.7%
90003,zipcode,All Homes,"$389,100",1.1%,3.5%,10.2%,10.9%,4.7%,7.9%,---,---,---,9.1%,2.4%,-5.2%,-1.2%,$373,0.8%,3.3%,9.1%,---,---,---,---,"$399,900",-0.0%,0.2%,8.4%,"$386,600",0.5%,1.5%,17.0%,86.8%,---,---,---,$363,-1.9%,-0.9%,10.4%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,534",0.8%,5.3%,5.3%,$2.45,0.9%,6.7%,6.0%
90004,zipcode,All Homes,"$1,412,700",-0.6%,-2.3%,5.0%,10.0%,5.7%,39.5%,---,---,---,16.0%,-5.7%,---,1.6%,$827,0.4%,0.7%,6.8%,3.2%,-1.2%,-0.2%,-0.2%,"$1,288,000",3.0%,7.6%,3.0%,---,---,---,---,53.9%,---,---,---,$751,5.4%,5.9%,2.0%,---,---,---,---,$2.79,5.3%,6.0%,6.7%,0,---,---,---,"$4,662",0.6%,3.4%,6.2%,$2.79,0.4%,3.1%,4.1%
90005,zipcode,All Homes,"$792,000",0.2%,0.6%,0.5%,5.0%,3.5%,28.1%,---,---,---,---,---,---,---,$547,0.2%,1.5%,5.8%,---,---,---,---,"$1,034,500",15.1%,6.7%,31.0%,---,---,---,---,65.1%,---,---,---,$574,3.0%,8.8%,5.5%,---,---,---,---,---,---,---,---,---,---,---,---,"$3,321",0.5%,3.7%,1.8%,$2.26,0.4%,1.7%,2.8%
90006,zipcode,All Homes,"$677,200",-1.0%,-1.7%,3.3%,8.3%,4.7%,24.3%,---,---,---,---,---,---,---,$513,0.4%,0.6%,6.2%,---,---,---,---,"$764,000",-3.0%,10.9%,4.7%,---,---,---,---,68.7%,---,---,---,$538,-0.2%,-0.2%,3.1%,---,---,---,---,---,---,---,---,0,---,---,---,"$2,916",0.3%,0.5%,2.3%,$2.25,0.2%,1.0%,1.3%
90007,zipcode,All Homes,"$660,300",-0.8%,-1.9%,7.8%,10.4%,5.0%,14.1%,---,---,---,---,---,---,---,$445,-0.4%,-0.9%,9.3%,---,---,---,---,---,---,---,---,---,---,---,---,80.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$3,021",0.2%,1.8%,4.6%,$1.92,0.2%,2.1%,5.3%
90008,zipcode,All Homes,"$836,700",0.8%,1.9%,7.0%,12.0%,6.9%,15.2%,---,---,---,7.3%,-9.4%,-17.4%,-4.6%,$495,0.4%,1.0%,8.1%,---,---,---,---,"$882,400",-4.5%,-4.8%,13.1%,"$824,100",-4.3%,6.2%,14.8%,78.4%,---,---,---,$491,0.0%,-5.6%,8.2%,---,---,---,---,---,---,---,---,---,---,---,---,"$3,242",0.0%,2.2%,3.1%,$1.97,0.2%,2.1%,3.2%
90010,zipcode,All Homes,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$3,543",0.5%,3.3%,1.8%,$2.62,0.6%,3.8%,1.3%
