Region Name,Zillow Home Value Index_Current,Zillow Home Value Index_Month Over Month,Zillow Home Value Index_Quarter Over Quarter,Zillow Home Value Index_Year Over Year,Zillow Home Value Index_5 Year Annualized,Zillow Home Value Index_10 Year Annualized,Zillow Rent Index_Current,Zillow Rent Index_Month Over Month,Zillow Rent Index_Quarter Over Quarter,Zillow Rent Index_Year Over Year
Los Angeles,"$694,200 ",0.10%,0.70%,4.50%,7.80%,4.80%,"$3,079 ",0.30%,2.30%,4.40%
90001,"$375,600 ",0.80%,2.00%,6.10%,10.30%,4.50%,"$2,504 ",0.80%,4.20%,6.70%
90002,"$376,400 ",0.40%,1.20%,5.70%,11.10%,4.50%,"$2,468 ",0.50%,3.20%,6.00%
90003,"$389,100 ",1.10%,3.50%,10.20%,10.90%,4.70%,"$2,534 ",0.80%,5.30%,5.30%
90004,"$1,412,700 ",-0.60%,-2.30%,5.00%,10.00%,5.70%,"$4,662 ",0.60%,3.40%,6.20%
90005,"$792,000 ",0.20%,0.60%,0.50%,5.00%,3.50%,"$3,321 ",0.50%,3.70%,1.80%
90006,"$677,200 ",-1.00%,-1.70%,3.30%,8.30%,4.70%,"$2,916 ",0.30%,0.50%,2.30%
90007,"$660,300 ",-0.80%,-1.90%,7.80%,10.40%,5.00%,"$3,021 ",0.20%,1.80%,4.60%
90008,"$836,700 ",0.80%,1.90%,7.00%,12.00%,6.90%,"$3,242 ",0.00%,2.20%,3.10%
90010,---,---,---,---,---,---,"$3,543 ",0.50%,3.30%,1.80%
90011,"$409,600 ",0.70%,1.90%,9.80%,11.10%,4.80%,"$2,602 ",0.90%,4.80%,6.20%
90012,"$576,300 ",-0.40%,0.50%,3.00%,8.30%,5.00%,"$2,515 ",0.60%,2.20%,2.80%
90013,"$607,100 ",-0.50%,0.80%,1.30%,7.20%,---,"$2,534 ",0.70%,3.20%,3.70%
90014,"$600,800 ",1.30%,5.50%,20.00%,7.20%,---,"$2,397 ",0.80%,2.80%,3.50%
90015,"$666,700 ",-0.20%,1.00%,1.10%,4.30%,4.10%,"$2,919 ",0.50%,1.10%,0.80%
90016,"$728,600 ",0.20%,0.90%,6.50%,13.60%,7.60%,"$2,957 ",0.20%,1.80%,2.40%
90017,"$637,600 ",-0.10%,0.00%,4.70%,6.30%,4.00%,"$2,713 ",0.30%,1.70%,1.60%
90018,"$704,000 ",0.10%,1.00%,9.20%,14.70%,7.50%,"$2,924 ",0.30%,1.00%,2.10%
90019,"$1,133,800 ",-0.20%,0.40%,7.90%,10.10%,6.50%,"$3,917 ",0.20%,2.30%,3.00%
