zipcode,Classification,City,Population,Timezone,Area Code(s)
90001,General,Los Angeles,"57,110",Pacific,323
90002,General,Los Angeles,"51,223",Pacific,323/562
90003,General,Los Angeles,"66,266",Pacific,323
90004,General,Los Angeles,"62,180",Pacific,323/213
90005,General,Los Angeles,"37,681",Pacific,323/213/310/818/626
90006,General,Los Angeles,"59,185",Pacific,213/323
90007,General,Los Angeles,"40,920",Pacific,323/213
90008,General,Los Angeles,"32,327",Pacific,323
90010,General,Los Angeles,"3,800",Pacific,323/310/818/213/626
90011,General,Los Angeles,"103,892",Pacific,323
90012,General,Los Angeles,"31,103",Pacific,323/818
90013,General,Los Angeles,"11,772",Pacific,213/323/626/818/424/562/310/747
90014,General,Los Angeles,"7,005",Pacific,213/323/626/424/818/310/562/747
90015,General,Los Angeles,"18,986",Pacific,213/323/310/626/818/562/424
90016,General,Los Angeles,"47,596",Pacific,323
90017,General,Los Angeles,"23,768",Pacific,213/323/626/310/562/818/424
90018,General,Los Angeles,"49,310",Pacific,323/213
90019,General,Los Angeles,"64,458",Pacific,323
90020,General,Los Angeles,"38,967",Pacific,323/310/818/213/626
90021,General,Los Angeles,"3,951",Pacific,213/323/626/818/424/562/310/747
90022,General,Los Angeles,"67,179",Pacific,562/323
90023,General,Los Angeles,"45,903",Pacific,323
90024,General,Los Angeles,"47,452",Pacific,310/818
90025,General,Los Angeles,"42,147",Pacific,310/424/818
90026,General,Los Angeles,"67,869",Pacific,213
90027,General,Los Angeles,"45,151",Pacific,323/818/213/747
90028,General,Los Angeles,"28,714",Pacific,323/818/747
90029,General,Los Angeles,"38,617",Pacific,323/213
90031,General,Los Angeles,"39,316",Pacific,323
90032,General,Los Angeles,"45,786",Pacific,626
90033,General,Los Angeles,"48,852",Pacific,323
90034,General,Los Angeles,"57,964",Pacific,310/424
90035,General,Los Angeles,"28,418",Pacific,310/424
90036,General,Los Angeles,"36,865",Pacific,323
90037,General,Los Angeles,"62,276",Pacific,323/424/310/213
90038,General,Los Angeles,"28,917",Pacific,323/818/747
90039,General,Los Angeles,"28,514",Pacific,818/747
90040,General,Los Angeles,"12,520",Pacific,562/323
90041,General,Los Angeles,"27,425",Pacific,323/626
90042,General,Los Angeles,"62,430",Pacific,323/626
90043,General,Los Angeles,"44,789",Pacific,323
90044,General,Los Angeles,"89,779",Pacific,323/310/213
90045,General,Los Angeles,"39,480",Pacific,323
90046,General,Los Angeles,"48,581",Pacific,323
90047,General,Los Angeles,"48,606",Pacific,323
90048,General,Los Angeles,"21,397",Pacific,323/310
90049,General,Los Angeles,"35,482",Pacific,818/310
90056,General,Los Angeles,"7,827",Pacific,323
90057,General,Los Angeles,"44,998",Pacific,213
90058,General,Los Angeles,"3,223",Pacific,323
90059,General,Los Angeles,"40,952",Pacific,310/213
90061,General,Los Angeles,"26,872",Pacific,310/323/213
90062,General,Los Angeles,"32,821",Pacific,323
90063,General,Los Angeles,"55,758",Pacific,323
90064,General,Los Angeles,"25,403",Pacific,310/818
90065,General,Los Angeles,"45,527",Pacific,323
90066,General,Los Angeles,"55,277",Pacific,310/424
90067,General,Los Angeles,"2,424",Pacific,310
90068,General,Los Angeles,"22,286",Pacific,323
90069,General,West Hollywood,"20,483",Pacific,818/323
90071,General,Los Angeles,15,Pacific,213/323/626/310/818/424/562/747
90073,P.O. Box,Los Angeles,539,Pacific,310/424/818
90077,General,Los Angeles,"9,377",Pacific,818/310
90089,Unique,Los Angeles,"3,217",Pacific,323/213
90094,General,Playa Vista,"5,464",Pacific,323
90201,General,Bell Gardens,"101,279",Pacific,323
90210,General,Beverly Hills,"21,741",Pacific,310/424
90211,General,Beverly Hills,"8,434",Pacific,310/424
90212,General,Beverly Hills,"11,555",Pacific,310/424/323
90220,General,Compton,"49,328",Pacific,310/562/424/323
90221,General,Compton,"53,704",Pacific,310/562/424/323
90222,General,Compton,"31,869",Pacific,310/562/424/323
90230,General,Culver City,"31,766",Pacific,310/424
90232,General,Culver City,"15,149",Pacific,310/424
90240,General,Downey,"25,876",Pacific,562
90241,General,Downey,"42,399",Pacific,562
90242,General,Downey,"43,497",Pacific,562
90245,General,El Segundo,"16,654",Pacific,310/424
90247,General,Gardena,"47,487",Pacific,310/562/424/213/323
90248,General,Gardena,"9,947",Pacific,310/562/424/213/323
90249,General,Gardena,"26,669",Pacific,310/562/424/213/323
90250,General,Hawthorne,"93,193",Pacific,310/424
90254,General,Hermosa Beach,"19,506",Pacific,424/310
90255,General,Huntington Park,"75,066",Pacific,323
90260,General,Lawndale,"34,924",Pacific,424/310
90262,General,Lynwood,"69,745",Pacific,323
90263,Unique,Malibu,"1,612",Pacific,310/424
90265,General,Malibu,"18,116",Pacific,310/424
90266,General,Manhattan Beach,"35,135",Pacific,310
90270,General,Maywood,"27,372",Pacific,323
90272,General,Pacific Palisades,"22,986",Pacific,424
90274,General,Palos Verdes Peninsula,"25,209",Pacific,310
