LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0002189128-0001-1,"DTPG COLLECTIVE, INC",DTPG,1320 MATEO STREET,LOS ANGELES,90021-1747,1320 MATEO 90021-1747,,,,888888,Medical Marijuana Collective,14,10/06/2006,,"(34.0282, -118.2322)"
0002176979-0001-1,HERBAL REMEDIES CAREGIVERS INC,,12423   GLADSTONE AVENUE,SYLMAR,91342-5339,12423 GLADSTONE 91342-5339,15544   CABRITO ROAD,VAN NUYS,91406-1409,888888,Medical Marijuana Collective,7,09/01/2006,,"(34.2953, -118.4127)"
0002262211-0002-4,SOUTHERN CALIFORNIA COLLECTIVE A NON PROFIT ASSOCIATION,,2435   MILITARY AVENUE,LOS ANGELES,90064-1920,2435 MILITARY 90064-1920,,,,888888,Medical Marijuana Collective,5,08/06/2007,,"(34.0373, -118.4327)"
0002220313-0001-3,"VALLEY HOLISTIC CAREGIVERS, INC",SMARTWEED,1038 N WESTERN AVENUE,LOS ANGELES,90029-2310,1038 WESTERN 90029-2310,19360 RINALDI STREET #140,PORTER RANCH,91326-1607,888888,Medical Marijuana Collective,13,04/18/2011,,"(34.0895, -118.3087)"
0002239633-0001-7,"DIVINE WELLNESS CENTER, INC",,7246 ETON AVENUE,CANOGA PARK,91303-1505,7246 ETON 91303-1505,,,,888888,Medical Marijuana Collective,3,04/01/2007,,"(34.2018, -118.5954)"
0002215717-0001-4,WELLNESS CAREGIVERS COLLECTIVE,,15460   DEVONSHIRE STREET,MISSION HILLS,91345-2619,15460 DEVONSHIRE 91345-2619,,,,888888,Medical Marijuana Collective,7,01/09/2007,,"(34.2572, -118.4692)"
0002225065-0001-2,THE LOS ANGELES COOPERATIVE,HOLLYWEED,5160   VENICE BLVD,LOS ANGELES,90019-5229,5160 VENICE 90019-5229,5142   VENICE BLVD,LOS ANGELES,90019-5229,888888,Medical Marijuana Collective,10,02/12/2007,,"(34.0444, -118.3525)"
0002275041-0001-9,DOWNTOWN NATURAL CAREGIVERS INC.,,147 W 25TH STREET,LOS ANGELES,90007-2713,147 25TH 90007-2713,312   WALL STREET,LOS ANGELES,90013-1515,888888,Medical Marijuana Collective,9,09/14/2007,,"(34.0268, -118.2695)"
0002232461-0001-1,"HERBAL PAIN RELIEF CENTER COOPERATIVE, INC",,10736 SEPULVEDA BLVD,MISSION HILLS,91345-1904,10736 SEPULVEDA 91345-1904,,,,888888,Medical Marijuana Collective,7,03/13/2007,,"(34.2648, -118.4671)"
0002072463-0001-5,MARINA CAREGIVERS' COOPERATIVE INC,MARINA CAREGIVERS,13453 BEACH AVENUE,MARINA DEL REY,90292-5623,13453 BEACH 90292-5623,,,,888888,Medical Marijuana Collective,11,11/01/2005,,"(33.9906, -118.4455)"
0002207858-0001-0,"GOURMET GREEN ROOM, INC",GGR,1500   ESPERANZA STREET,LOS ANGELES,90023-3915,1500 ESPERANZA 90023-3915,,,,888888,Medical Marijuana Collective,14,12/10/2006,,"(34.0155, -118.2006)"
0002184569-0001-7,"SUPERIOR HERBAL HEALTH, LLC",THE CLINIK,20447   NORDHOFF STREET,CHATSWORTH,91311-6112,20447 NORDHOFF 91311-6112,,,,888888,Medical Marijuana Collective,12,10/01/2006,,"(34.2325, -118.5794)"
0002254141-0001-7,VERMONT HERBAL CENTER INC,AIRSIDE WELLNESS,7250 VALJEAN AVENUE,VAN NUYS,91406-3412,7250 VALJEAN 91406-3412,,,,888888,Medical Marijuana Collective,6,06/07/2007,,"(34.2023, -118.4859)"
0000097184-0001-2,DADDY'S PIPES INC,DADDY'S DISPENSARY,7040   HAYVENHURST AVENUE,VAN NUYS,91406-3801,7040 HAYVENHURST 91406-3801,14430   VENTURA BLVD,SHERMAN OAKS,91423-2607,888888,Medical Marijuana Collective,6,04/15/2000,,"(34.1986, -118.4918)"
0002207291-0001-3,NORTHRIDGE CAREGIVERS CO-OP INC,HCMA,11826   SHELDON STREET,SUN VALLEY,91352-1507,11826 SHELDON 91352-1507,7039   JELLICO AVENUE,VAN NUYS,91406-3525,888888,Medical Marijuana Collective,6,12/08/2006,,"(34.2409, -118.39)"
0002277718-0001-1,HUNTINGTON PATIENTS ASSOCIATION,,7011   CANOGA AVENUE,CANOGA PARK,91303-2034,7011 CANOGA 91303-2034,,,,888888,Medical Marijuana Collective,3,04/18/2011,,"(34.1978, -118.5981)"
0002034460-0002-9,ROBERTSON CAREGIVERS BEVERLYWOOD,ROBERTSON CAREGIVERS BEVERLYWOOD,12800   WENTWORTH STREET,ARLETA,91331-4331,12800 WENTWORTH 91331-4331,,,,888888,Medical Marijuana Collective,6,09/01/2007,,"(34.2362, -118.4116)"
0002193580-0001-2,ORGANIC CENTURY FARMACY INC,,12458   MAGNOLIA BLVD,VALLEY VILLAGE,91607-2451,12458 MAGNOLIA 91607-2451,,,,888888,Medical Marijuana Collective,2,11/01/2006,,"(34.1645, -118.4049)"
0002228941-0001-2,HEALTHY HERBAL CARE INC,,7123 SEPULVEDA BLVD,VAN NUYS,91405-2930,7123 SEPULVEDA 91405-2930,7123 SEPULVEDA BLVD,VAN NUYS,91405-2930,888888,Medical Marijuana Collective,6,02/28/2007,,"(34.1999, -118.4662)"
0002178426-0001-3,"RESOURCE REFERRAL SERVICES, INC",GVC,10842   MAGNOLIA BLVD,NORTH HOLLYWOOD,91601-3920,10842 MAGNOLIA 91601-3920,8940   NATIONAL BLVD,LOS ANGELES,90034-3308,888888,Medical Marijuana Collective,2,09/05/2006,,"(34.1644, -118.3674)"
0002207035-0001-3,PERENNIAL HOLISTIC WELLNESS CENTER INC,PERENNIAL HOLISTIC WELLNESS CENTER,11705 VENTURA BLVD,STUDIO CITY,91604-2616,11705 VENTURA 91604-2616,,,,888888,Medical Marijuana Collective,2,12/07/2006,,"(34.1414, -118.388)"
0002107645-0001-1,HEZEKIAH INCORPORATED,,2437 E 24TH STREET,VERNON,90058-1203,2437 24TH 90058-1203,,,,888888,Medical Marijuana Collective,14,04/15/2006,,"(34.0166, -118.2286)"
0002218104-0001-0,SMART COLLECTIVE INC,SMART COLLECTIVE,10745   RIVERSIDE DRIVE   SUITE #A-C,NORTH HOLLYWOOD,91602-2371,10745 RIVERSIDE 91602-2371,7552 BLUEBELL AVENUE,NORTH HOLLYWOOD,91605-2019,888888,Medical Marijuana Collective,4,01/18/2007,,"(34.1526, -118.3651)"
0002254984-0001-1,ONESRA ENTERPRISES INC,EUPHORIC CARE GIVERS / PROP 215 | EUPHORIC CAREGIVERS PROP 215,10655 W PICO BLVD,LOS ANGELES,90064-2222,10655 PICO 90064-2222,1730 N VISTA STREET,LOS ANGELES,90046-2235,888888,Medical Marijuana Collective,5,06/21/2007,,"(34.0426, -118.4234)"
