,Zip Code,City,Population,County
0,90039,Los Angeles,28514.0,Los Angeles County
1,90044,Los Angeles,89779.0,Los Angeles County
2,90036,Los Angeles,36865.0,Los Angeles County
3,90016,Los Angeles,47596.0,Los Angeles County
4,90011,Los Angeles,103892.0,Los Angeles County
5,91204,Glendale,16032.0,Los Angeles County
6,90047,Los Angeles,48606.0,Los Angeles County
7,91352,Sun Valley,47807.0,Los Angeles County
8,90015,Los Angeles,18986.0,Los Angeles County
9,90003,Los Angeles,66266.0,Los Angeles County
10,90037,Los Angeles,62276.0,Los Angeles County
12,90018,Los Angeles,49310.0,Los Angeles County
15,90019,Los Angeles,64458.0,Los Angeles County
16,91345,Mission Hills,18496.0,Los Angeles County
17,91402,Panorama City,69817.0,Los Angeles County
18,90069,West Hollywood,20483.0,Los Angeles County
19,91401,Van Nuys,39285.0,Los Angeles County
21,90405,Santa Monica,27186.0,Los Angeles County
26,90012,Los Angeles,31103.0,Los Angeles County
28,90014,Los Angeles,7005.0,Los Angeles County
29,90035,Los Angeles,28418.0,Los Angeles County
30,90062,Los Angeles,32821.0,Los Angeles County
32,90007,Los Angeles,40920.0,Los Angeles County
34,91331,Pacoima,103689.0,Los Angeles County
35,90029,Los Angeles,38617.0,Los Angeles County
37,91344,Granada Hills,51747.0,Los Angeles County
39,90045,Los Angeles,39480.0,Los Angeles County
40,91303,Canoga Park,26855.0,Los Angeles County
41,90008,Los Angeles,32327.0,Los Angeles County
42,91340,San Fernando,34188.0,Los Angeles County
45,90017,Los Angeles,23768.0,Los Angeles County
49,90028,Los Angeles,28714.0,Los Angeles County
50,90057,Los Angeles,44998.0,Los Angeles County
51,90006,Los Angeles,59185.0,Los Angeles County
52,90021,Los Angeles,3951.0,Los Angeles County
56,90501,Torrance,43180.0,Los Angeles County
57,90033,Los Angeles,48852.0,Los Angeles County
59,91608,Universal City,0.0,Los Angeles County
60,90038,Los Angeles,28917.0,Los Angeles County
61,90023,Los Angeles,45903.0,Los Angeles County
62,91335,Reseda,74363.0,Los Angeles County
67,90026,Los Angeles,67869.0,Los Angeles County
69,90005,Los Angeles,37681.0,Los Angeles County
76,90731,San Pedro,59662.0,Los Angeles County
78,90071,Los Angeles,15.0,Los Angeles County
79,91436,Encino,14372.0,Los Angeles County
82,90034,Los Angeles,57964.0,Los Angeles County
85,91501,Burbank,20849.0,Los Angeles County
90,90064,Los Angeles,25403.0,Los Angeles County
92,91324,Northridge,27669.0,Los Angeles County
96,91423,Sherman Oaks,30991.0,Los Angeles County
98,91405,Van Nuys,51145.0,Los Angeles County
105,91602,North Hollywood,17473.0,Los Angeles County
114,91326,Porter Ranch,33708.0,Los Angeles County
116,91411,Van Nuys,24628.0,Los Angeles County
117,90013,Los Angeles,11772.0,Los Angeles County
123,91306,Winnetka,45061.0,Los Angeles County
124,90004,Los Angeles,62180.0,Los Angeles County
128,91607,Valley Village,27927.0,Los Angeles County
132,90245,El Segundo,16654.0,Los Angeles County
135,90043,Los Angeles,44789.0,Los Angeles County
137,90002,Los Angeles,51223.0,Los Angeles County
138,91367,Woodland Hills,39499.0,Los Angeles County
168,91601,North Hollywood,37180.0,Los Angeles County
169,91606,North Hollywood,44958.0,Los Angeles County
