Name,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate
ZCTA5 00601,601,17599.0,38.9,11757.0,7041.0,64.105915108813,13.9439740894369
ZCTA5 00602,602,39209.0,40.9,16190.0,8978.0,52.10028309826826,6.473003647121835
ZCTA5 00603,603,50135.0,40.4,16645.0,10897.0,50.21641567767029,7.156676972175127
ZCTA5 00606,606,6304.0,42.8,13387.0,5960.0,64.91116751269035,3.236040609137056
ZCTA5 00610,610,27590.0,41.4,18741.0,9266.0,45.498368974266036,5.342515404131932
ZCTA5 00612,612,62566.0,41.4,17744.0,10283.0,47.74478151072468,5.8833871431768054
ZCTA5 00616,616,10687.0,43.7,14918.0,9002.0,50.19182183961823,5.31486853186114
ZCTA5 00617,617,24508.0,38.7,17157.0,8762.0,48.041455851150644,5.3819161090256245
ZCTA5 00622,622,7405.0,48.4,16727.0,11935.0,54.193112761647534,3.4976367319378796
ZCTA5 00623,623,42321.0,41.3,16401.0,9101.0,52.00255192457645,3.7239195671179792
ZCTA5 00624,624,23238.0,37.2,16832.0,8072.0,56.338755486702816,7.164988381099922
ZCTA5 00627,627,32936.0,40.1,17579.0,9738.0,48.35742045178528,6.415472431382074
ZCTA5 00631,631,1555.0,48.2,9632.0,7690.0,59.29260450160772,19.614147909967844
ZCTA5 00637,637,23610.0,40.9,15736.0,9158.0,48.73358746293943,6.272765777213046
ZCTA5 00638,638,17202.0,40.3,14448.0,8108.0,57.90605743518196,4.9064062318335075
ZCTA5 00641,641,28332.0,41.9,16292.0,8305.0,52.601298884653396,9.589863052378936
ZCTA5 00646,646,38008.0,39.4,29160.0,15397.0,33.43769732687855,8.342980425173648
ZCTA5 00647,647,5610.0,47.1,13071.0,7058.0,63.297682709447415,7.789661319073084
ZCTA5 00650,650,14664.0,38.6,16095.0,7698.0,55.91925804691762,5.025913802509547
ZCTA5 00652,652,3681.0,38.8,20564.0,11439.0,43.38494974191796,3.9663135017658244
ZCTA5 00653,653,11717.0,38.7,12236.0,7279.0,66.03226081761544,9.149099598873432
ZCTA5 00656,656,19546.0,40.3,14966.0,8327.0,55.60728537808247,7.270029673590504
ZCTA5 00659,659,40978.0,40.7,17770.0,10360.0,45.19986334130509,3.0504172970862413
ZCTA5 00660,660,16474.0,45.1,19674.0,11588.0,39.31042855408523,8.771397353405366
ZCTA5 00662,662,41341.0,40.6,16771.0,8883.0,53.157882005756996,6.073873394451029
ZCTA5 00664,664,15396.0,36.3,15401.0,7134.0,59.521953754221876,7.813717848791894
ZCTA5 00667,667,24089.0,43.6,13843.0,7256.0,60.31383619079248,4.454315247623397
ZCTA5 00669,669,26510.0,40.9,12996.0,8236.0,55.83553376084497,12.316107129385138
ZCTA5 00670,670,8797.0,40.1,14456.0,7293.0,56.63294304876663,0.6479481641468683
ZCTA5 00674,674,40826.0,41.1,18032.0,10520.0,46.1323666291089,5.8688090922451375
ZCTA5 00676,676,37862.0,38.6,13416.0,7893.0,57.376789393059006,8.124240663462047
ZCTA5 00677,677,14569.0,44.6,18333.0,10236.0,48.369826343606285,4.8596334683231515
ZCTA5 00678,678,26642.0,39.3,15730.0,9103.0,52.0381352751295,4.083777494182119
ZCTA5 00680,680,48035.0,41.6,14500.0,10277.0,49.948995524097015,8.514624752784428
ZCTA5 00682,682,32820.0,37.3,15315.0,11236.0,52.80316879951249,8.90310786106033
ZCTA5 00683,683,31627.0,42.9,15043.0,9547.0,50.97543238372277,2.3777152433047712
ZCTA5 00685,685,38849.0,42.6,14128.0,8080.0,55.53038688254524,8.484130865659347
ZCTA5 00687,687,31785.0,37.0,18739.0,8816.0,49.20245398773006,6.934088406481044
ZCTA5 00688,688,12360.0,40.7,15918.0,8636.0,49.76537216828479,3.6731391585760518
ZCTA5 00690,690,5587.0,41.9,18491.0,10644.0,49.257204224091645,8.090209414712726
ZCTA5 00692,692,36218.0,37.6,18076.0,10586.0,49.213098459329615,6.897122977524988
ZCTA5 00693,693,56327.0,40.0,18971.0,10209.0,43.57945567844906,5.180464075842846
ZCTA5 00694,694,88.0,73.1,14375.0,7647.0,47.72727272727273,0.0
ZCTA5 00698,698,37493.0,42.0,14487.0,8139.0,49.950657456058465,7.593417437921746
ZCTA5 00703,703,27137.0,40.2,16532.0,10235.0,49.19482625198069,7.322106349264842
ZCTA5 00704,704,7842.0,36.0,13960.0,7585.0,56.885998469778116,3.4685029329252743
ZCTA5 00705,705,23831.0,40.6,18207.0,10172.0,49.62863497125593,1.7456254458478453
ZCTA5 00707,707,11240.0,43.5,17489.0,8761.0,52.8914590747331,6.539145907473309
ZCTA5 00714,714,18363.0,38.8,15820.0,7685.0,56.34155639056799,3.806567554321189
ZCTA5 00715,715,3645.0,41.3,12440.0,7579.0,66.91358024691358,6.941015089163237
ZCTA5 00716,716,29191.0,42.2,18514.0,13034.0,48.49782467198794,4.696653078003494
ZCTA5 00717,717,17285.0,36.9,11269.0,9711.0,58.131327740815735,5.600231414521261
ZCTA5 00718,718,26073.0,36.9,18998.0,10107.0,49.00471752387527,3.4249990411536837
ZCTA5 00719,719,29684.0,39.0,18401.0,9006.0,46.654763508961054,8.09527017922113
ZCTA5 00720,720,21753.0,37.5,14533.0,7326.0,55.63830276283731,9.73199098974854
ZCTA5 00723,723,17826.0,43.3,14554.0,8723.0,57.11881521373275,5.632222596207787
ZCTA5 00725,725,82822.0,40.4,20374.0,12575.0,41.811354471034264,6.9619183308782695
ZCTA5 00727,727,56023.0,38.8,30797.0,15666.0,31.658426003605662,5.23177980472306
ZCTA5 00728,728,40326.0,37.7,18097.0,9181.0,46.57541040519764,4.671923820859991
ZCTA5 00729,729,52244.0,38.9,20508.0,11066.0,41.99333894801317,9.491999081234209
ZCTA5 00730,730,32735.0,41.3,15367.0,10834.0,54.479914464640295,5.135176416679395
ZCTA5 00731,731,13862.0,39.8,16389.0,9432.0,54.97763670466022,3.2318568749098255
ZCTA5 00735,735,12749.0,40.7,18947.0,11580.0,43.76029492509216,3.7022511569534866
ZCTA5 00736,736,48476.0,41.3,20166.0,12391.0,44.630332535687764,4.466127568281212
ZCTA5 00738,738,31558.0,40.7,19284.0,11081.0,42.597756511819505,11.607199442296723
ZCTA5 00739,739,37380.0,38.5,20619.0,11107.0,42.20171214553237,5.976457998929909
ZCTA5 00740,740,1517.0,36.5,12934.0,7125.0,61.17336849044166,23.467369808833222
ZCTA5 00741,741,5168.0,41.0,22766.0,9385.0,42.143962848297214,8.630030959752322
