,count,address
0,16,"7409 Summitrose St, Tujunga, CA 91042, USA"
1,16,"7409 Summitrose St, Tujunga, CA 91042, USA"
2,0,"7409 Summitrose St, Tujunga, CA 91042, USA"
3,4,"10885 Hillhaven Ave, Tujunga, CA 91042, USA"
4,4,"10885 Hillhaven Ave, Tujunga, CA 91042, USA"
5,0,"10885 Hillhaven Ave, Tujunga, CA 91042, USA"
6,22,"10039 Redmont Ave, Tujunga, CA 91042, USA"
7,22,"10039 Redmont Ave, Tujunga, CA 91042, USA"
8,0,"10039 Redmont Ave, Tujunga, CA 91042, USA"
9,14,"6846 Valmont St, Tujunga, CA 91042, USA"
10,14,"6846 Valmont St, Tujunga, CA 91042, USA"
11,0,"6846 Valmont St, Tujunga, CA 91042, USA"
12,7,"9836 Tujunga Canyon Pl, Tujunga, CA 91042, USA"
13,7,"9836 Tujunga Canyon Pl, Tujunga, CA 91042, USA"
14,0,"9836 Tujunga Canyon Pl, Tujunga, CA 91042, USA"
15,4,"7489 Verdugo Crestline Dr, Tujunga, CA 91042, USA"
16,4,"7489 Verdugo Crestline Dr, Tujunga, CA 91042, USA"
17,0,"7489 Verdugo Crestline Dr, Tujunga, CA 91042, USA"
18,2,"8434 Vine Valley Dr, Sun Valley, CA 91352, USA"
19,2,"8434 Vine Valley Dr, Sun Valley, CA 91352, USA"
20,0,"8434 Vine Valley Dr, Sun Valley, CA 91352, USA"
21,0,"9830 Milburn Dr, Sun Valley, CA 91352, USA"
22,0,"9830 Milburn Dr, Sun Valley, CA 91352, USA"
23,0,"9830 Milburn Dr, Sun Valley, CA 91352, USA"
24,8,"7710 N Hollywood Way, Burbank, CA 91505, USA"
25,8,"7710 N Hollywood Way, Burbank, CA 91505, USA"
26,0,"7710 N Hollywood Way, Burbank, CA 91505, USA"
27,20,"8990 La Tuna Canyon Rd, Sun Valley, CA 91352, USA"
28,20,"8990 La Tuna Canyon Rd, Sun Valley, CA 91352, USA"
29,0,"8990 La Tuna Canyon Rd, Sun Valley, CA 91352, USA"
30,8,"11355 Alethea Dr, Sunland-Tujunga, CA 91040, USA"
31,8,"11355 Alethea Dr, Sunland-Tujunga, CA 91040, USA"
32,0,"11355 Alethea Dr, Sunland-Tujunga, CA 91040, USA"
33,3,"10650 Woodward Ave, Sunland-Tujunga, CA 91040, USA"
34,3,"10650 Woodward Ave, Sunland-Tujunga, CA 91040, USA"
35,0,"10650 Woodward Ave, Sunland-Tujunga, CA 91040, USA"
36,34,"9901 Foothill Blvd, Sylmar, CA 91342, USA"
